iter	Passed	Remaining
455	878	11721
456	879	11711
457	880	11700
458	882	11700
459	884	11698
460	886	11692
461	887	11683
462	889	11674
463	890	11666
464	892	11660
465	893	11650
466	895	11648
467	897	11643
468	898	11636
469	900	11629
470	901	11623
471	903	11616
472	904	11609
473	906	11602
474	907	11596
475	909	11587
476	910	11581
477	912	11574
478	914	11572
479	916	11569
480	917	11563
481	919	11557
482	920	11550
483	922	11548
484	924	11541
485	925	11538
486	927	11531
487	928	11524
488	930	11517
489	932	11516
490	933	11508
491	935	11502
492	937	11498
493	938	11491
494	940	11485
495	942	11489
496	944	11491
497	946	11485
498	947	11478
499	949	11471
500	950	11466
501	952	11465
502	954	11461
503	956	11455
504	957	11450
505	960	11456
506	961	11449
507	963	11441
508	964	11433
509	966	11425
510	967	11417
511	969	11413
512	970	11408
513	972	11403
514	973	11398
515	975	11396
516	977	11397
517	979	11390
518	981	11384
519	982	11378
520	984	11373
521	985	11366
522	987	11362
523	988	11358
524	990	11352
525	992	11348
526	993	11343
527	995	11339
528	997	11335
529	998	11331
530	1000	11326
531	1002	11323
532	1004	11320
533	1006	11321
534	1007	11316
535	1009	11308
536	1010	11301
537	1012	11294
538	1013	11289
539	1015	11282
540	1016	11274
541	1017	11266
542	1019	11261
543	1021	11259
544	1022	11256
545	1024	11251
546	1026	11245
547	1027	11241
548	1029	11234
549	1030	11229
550	1032	11226
551	1034	11223
552	1036	11221
553	1037	11216
554	1039	11209
555	1040	11204
556	1042	11202
557	1044	11199
558	1045	11193
559	1047	11188
560	1048	11183
561	1050	11176
562	1051	11172
563	1053	11166
564	1055	11161
565	1056	11152
566	1057	11144
567	1058	11134
568	1060	11128
569	1061	11122
570	1062	11115
571	1064	11108
572	1066	11106
573	1067	11103
574	1069	11098
575	1070	11091
576	1072	11085
577	1073	11079
578	1075	11072
579	1076	11066
580	1077	11059
581	1079	11058
582	1081	11053
583	1082	11047
584	1084	11042
585	1085	11036
586	1087	11030
587	1089	11028
588	1090	11023
589	1092	11017
590	1093	11010
591	1094	11004
592	1096	10999
593	1098	10997
594	1099	10991
595	1101	10985
596	1102	10981
597	1104	10975
598	1105	10971
599	1107	10968
600	1108	10962
601	1110	10959
602	1112	10955
603	1113	10949
604	1115	10944
605	1117	10942
606	1118	10937
607	1119	10929
608	1121	10923
609	1122	10916
610	1123	10909
611	1125	10905
612	1127	10902
613	1128	10899
614	1130	10894
615	1131	10889
616	1133	10883
617	1134	10879
618	1136	10873
619	1137	10867
620	1139	10861
621	1140	10857
622	1142	10853
623	1144	10850
624	1145	10846
625	1147	10842
626	1148	10837
627	1150	10831
628	1151	10826
629	1153	10822
630	1154	10817
631	1156	10814
632	1157	10809
633	1159	10806
634	1161	10801
635	1162	10797
636	1164	10793
637	1166	10794
638	1168	10791
639	1169	10785
640	1171	10780
641	1172	10775
642	1174	10771
643	1175	10767
644	1177	10763
645	1178	10758
646	1180	10754
647	1182	10753
648	1183	10748
649	1185	10743
650	1186	10740
651	1188	10736
652	1191	10743
653	1193	10745
654	1195	10741
655	1196	10735
656	1197	10729
657	1199	10722
658	1200	10718
659	1202	10713
660	1203	10708
661	1204	10702
662	1206	10699
663	1208	10696
664	1210	10695
665	1211	10689
666	1213	10684
667	1214	10678
668	1215	10674
669	1217	10668
670	1218	10664
671	1220	10658
672	1221	10654
673	1223	10652
674	1225	10647
675	1226	10642
676	1228	10639
677	1229	10635
678	1231	10631
679	1232	10626
680	1234	10621
681	1235	10618
682	1237	10618
683	1239	10615
684	1241	10613
685	1242	10610
686	1244	10605
687	1246	10604
688	1247	10600
689	1249	10598
690	1251	10600
691	1253	10600
692	1256	10602
693	1257	10599
694	1259	10596
695	1261	10595
696	1263	10596
697	1265	10598
698	1267	10598
699	1269	10598
700	1271	10597
701	1273	10596
702	1275	10596
703	1277	10594
704	1279	10591
705	1280	10587
706	1282	10585
707	1285	10589
708	1287	10591
709	1289	10589
710	1291	10591
711	1293	10590
712	1295	10590
713	1297	10590
714	1299	10592
715	1301	10593
716	1303	10590
717	1305	10587
718	1307	10585
719	1308	10581
720	1310	10579
721	1312	10580
722	1314	10578
723	1316	10575
724	1317	10571
725	1319	10569
726	1321	10566
727	1322	10562
728	1324	10559
729	1326	10558
730	1328	10558
731	1330	10556
732	1331	10552
733	1332	10547
734	1334	10542
735	1335	10538
736	1337	10535
737	1339	10532
738	1340	10527
739	1342	10524
740	1344	10523
741	1346	10522
742	1347	10519
743	1349	10516
744	1351	10514
745	1352	10509
746	1354	10505
747	1355	10501
748	1357	10498
749	1358	10494
750	1360	10489
751	1361	10484
752	1363	10479
753	1364	10476
754	1366	10471
755	1367	10466
756	1368	10460
757	1370	10454
758	1371	10451
759	1373	10451
760	1375	10448
761	1376	10444
762	1378	10439
763	1379	10436
764	1381	10433
765	1383	10430
766	1384	10425
767	1386	10423
768	1387	10419
769	1389	10417
770	1391	10416
771	1393	10411
772	1394	10407
773	1396	10403
774	1397	10398
775	1398	10393
776	1400	10387
777	1401	10385
778	1403	10383
779	1405	10380
780	1406	10376
781	1408	10372
782	1409	10369
783	1411	10367
784	1413	10363
785	1414	10359
786	1416	10356
787	1417	10353
788	1419	10352
789	1421	10350
790	1422	10345
791	1424	10342
792	1426	10339
793	1427	10334
794	1429	10331
795	1430	10326
796	1432	10323
797	1434	10322
798	1435	10321
799	1437	10320
800	1439	10318
801	1441	10314
802	1442	10309
803	1443	10304
804	1445	10300
805	1447	10298
806	1448	10295
807	1450	10293
808	1452	10289
809	1453	10286
810	1455	10283
811	1457	10282
812	1459	10285
813	1461	10287
814	1464	10290
815	1467	10298
816	1469	10296
817	1470	10293
818	1473	10293
819	1475	10296
820	1477	10293
821	1479	10294
822	1481	10296
823	1484	10299
824	1486	10302
825	1488	10302
826	1491	10305
827	1493	10305
828	1496	10311
829	1498	10314
830	1501	10318
831	1503	10321
832	1505	10317
833	1507	10318
834	1510	10321
835	1512	10324
836	1514	10323
837	1516	10324
838	1518	10324
839	1520	10320
840	1523	10326
841	1525	10328
842	1527	10329
843	1529	10327
844	1531	10327
845	1533	10327
846	1535	10326
847	1538	10329
848	1540	10330
849	1542	10328
850	1544	10328
851	1546	10327
852	1548	10328
853	1551	10331
854	1553	10331
855	1555	10330
856	1558	10335
857	1561	10344
858	1563	10343
859	1565	10344
860	1567	10345
861	1570	10347
862	1572	10349
863	1574	10346
864	1576	10347
865	1578	10345
866	1579	10340
867	1581	10337
868	1582	10334
869	1584	10329
870	1585	10326
871	1588	10326
872	1589	10324
873	1591	10321
874	1593	10319
875	1595	10318
876	1597	10316
877	1598	10312
878	1600	10308
879	1601	10302
880	1602	10296
881	1603	10291
882	1605	10288
883	1607	10285
884	1608	10282
885	1610	10278
886	1611	10273
887	1612	10268
888	1614	10267
889	1616	10263
890	1617	10259
891	1619	10259
892	1621	10257
893	1623	10254
894	1625	10253
895	1626	10250
896	1628	10247
897	1630	10244
898	1631	10240
899	1633	10241
900	1635	10237
901	1637	10237
902	1639	10235
903	1640	10233
904	1642	10233
905	1644	10231
906	1646	10228
907	1647	10224
908	1649	10222
909	1651	10221
910	1653	10220
911	1655	10217
912	1656	10214
913	1658	10212
914	1660	10210
915	1662	10208
916	1663	10205
917	1665	10203
918	1667	10201
919	1669	10200
920	1670	10197
921	1672	10194
922	1674	10192
923	1675	10188
924	1676	10183
925	1678	10179
926	1680	10180
927	1682	10177
928	1683	10173
929	1685	10170
